epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,41897.3,1.10145,1.09435,1.33726,0.61146,0.57695,0.59034,0.39502,1.25715,1.78322,1.4499,0.005842,0.005842,0.005842
44,42910.7,1.09634,1.07725,1.33689,0.6294,0.57529,0.59141,0.39622,1.2565,1.69717,1.44913,0.005743,0.005743,0.005743
45,43976.2,1.09506,1.0767,1.33152,0.6441,0.56283,0.59013,0.397,1.2461,1.76409,1.44835,0.005644,0.005644,0.005644
46,45042.3,1.0891,1.07083,1.33022,0.64249,0.56313,0.58737,0.39524,1.24614,1.86436,1.44679,0.005545,0.005545,0.005545
47,46114,1.08747,1.07192,1.32728,0.63141,0.56612,0.58854,0.39544,1.24503,1.85968,1.44093,0.005446,0.005446,0.005446
48,47075.2,1.0832,1.05675,1.32271,0.63674,0.56225,0.58777,0.39648,1.24402,1.87116,1.43921,0.005347,0.005347,0.005347
49,48207.9,1.07973,1.04997,1.3198,0.63368,0.56446,0.59073,0.39819,1.24001,1.80089,1.43872,0.005248,0.005248,0.005248
50,49321.3,1.07949,1.04322,1.32,0.63321,0.56741,0.59168,0.39901,1.24497,1.79426,1.44208,0.005149,0.005149,0.005149
51,50346.7,1.07056,1.04269,1.31234,0.63836,0.56904,0.59416,0.40057,1.24545,1.78556,1.44323,0.00505,0.00505,0.00505
52,51416.9,1.06972,1.03428,1.31471,0.64381,0.56763,0.59543,0.4004,1.24658,1.80163,1.44451,0.004951,0.004951,0.004951
53,52536.7,1.06851,1.03059,1.3106,0.64117,0.56842,0.59425,0.40007,1.24705,1.83242,1.4437,0.004852,0.004852,0.004852
54,53792.1,1.06061,1.02921,1.30668,0.64185,0.56896,0.59653,0.40311,1.24464,1.8527,1.44255,0.004753,0.004753,0.004753
55,54876.6,1.05947,1.02127,1.30643,0.64424,0.5665,0.5983,0.40401,1.24193,1.87593,1.4433,0.004654,0.004654,0.004654
56,56274.8,1.05481,1.01736,1.29939,0.64732,0.56536,0.59714,0.40367,1.24242,1.87607,1.44452,0.004555,0.004555,0.004555
57,833.626,1.03647,0.99193,1.29175,0.64926,0.5651,0.59797,0.40434,1.23986,1.79643,1.44316,0.004456,0.004456,0.004456
58,2662.77,1.04808,1.00181,1.30105,0.65358,0.56357,0.59818,0.4046,1.2392,1.78578,1.44186,0.004357,0.004357,0.004357
59,3547.61,1.04368,0.99573,1.29324,0.65395,0.56638,0.60021,0.40569,1.2386,1.74047,1.44122,0.004258,0.004258,0.004258
60,4417.46,1.05167,0.99219,1.29729,0.6553,0.5648,0.60178,0.40601,1.23859,1.77155,1.44097,0.004159,0.004159,0.004159
61,5337.17,1.04044,0.98473,1.29036,0.65296,0.56531,0.60251,0.40641,1.24097,1.78567,1.44472,0.00406,0.00406,0.00406
62,6259.94,1.03665,0.97905,1.28463,0.65442,0.5655,0.60217,0.40696,1.24212,1.81737,1.44676,0.003961,0.003961,0.003961
63,7138.98,1.03632,0.9811,1.28796,0.66279,0.56365,0.60221,0.4072,1.24199,1.81974,1.4475,0.003862,0.003862,0.003862
64,8190.69,1.03037,0.97672,1.28248,0.66233,0.56476,0.60171,0.40721,1.24343,1.82627,1.44997,0.003763,0.003763,0.003763
65,9126.34,1.02485,0.96173,1.28078,0.65842,0.56493,0.60118,0.40752,1.24326,1.83502,1.44996,0.003664,0.003664,0.003664
66,10077.9,1.01966,0.95597,1.27526,0.65522,0.56651,0.60112,0.40745,1.24278,1.83614,1.44969,0.003565,0.003565,0.003565
67,11034.4,1.01965,0.96121,1.27626,0.65595,0.56547,0.60102,0.40739,1.2428,1.82833,1.45028,0.003466,0.003466,0.003466
68,11970,1.01342,0.94672,1.26983,0.65413,0.56734,0.60168,0.4079,1.24347,1.83236,1.45092,0.003367,0.003367,0.003367
69,12907.1,1.00832,0.94592,1.26855,0.66321,0.5635,0.60091,0.40785,1.24364,1.82288,1.45069,0.003268,0.003268,0.003268
70,13792.5,1.00997,0.93809,1.26788,0.66929,0.56208,0.60152,0.40825,1.24493,1.83606,1.45103,0.003169,0.003169,0.003169
71,14682.7,1.0159,0.93917,1.26909,0.66798,0.56398,0.60245,0.40855,1.24539,1.84079,1.45212,0.00307,0.00307,0.00307
72,15670,1.00516,0.93218,1.26311,0.66877,0.56479,0.60256,0.40886,1.24493,1.84688,1.45116,0.002971,0.002971,0.002971
73,16581.6,1.0012,0.91964,1.25922,0.66716,0.56624,0.60271,0.40906,1.24536,1.85314,1.4513,0.002872,0.002872,0.002872
74,17532.3,0.99787,0.91573,1.25887,0.66724,0.56722,0.6026,0.40919,1.24521,1.86545,1.45122,0.002773,0.002773,0.002773
75,18433,0.99099,0.9117,1.25358,0.66628,0.56829,0.60274,0.40916,1.24513,1.8648,1.45121,0.002674,0.002674,0.002674
76,19453.8,0.98872,0.90397,1.24986,0.6625,0.57115,0.60241,0.40921,1.24651,1.86201,1.45237,0.002575,0.002575,0.002575
77,20507.1,0.98939,0.90141,1.24851,0.66373,0.5712,0.60226,0.40922,1.24635,1.85723,1.45218,0.002476,0.002476,0.002476
78,21462.9,0.97793,0.89807,1.24521,0.66494,0.57051,0.60259,0.40942,1.24741,1.84843,1.45318,0.002377,0.002377,0.002377
79,22397.1,0.97829,0.88683,1.24015,0.66262,0.57064,0.60259,0.40961,1.24718,1.84283,1.45297,0.002278,0.002278,0.002278
80,23504.2,0.97275,0.88549,1.23927,0.66216,0.5712,0.60223,0.40947,1.24707,1.84011,1.45286,0.002179,0.002179,0.002179
81,24504.9,0.97377,0.88516,1.24186,0.66291,0.57202,0.602,0.40944,1.24729,1.83838,1.45324,0.00208,0.00208,0.00208
82,25475.6,0.96137,0.868,1.23282,0.66403,0.57242,0.60222,0.40942,1.24821,1.83258,1.45395,0.001981,0.001981,0.001981
83,26380.2,0.96122,0.86662,1.22945,0.66372,0.57268,0.6024,0.40946,1.24852,1.82979,1.45386,0.001882,0.001882,0.001882
84,27319.5,0.95819,0.85334,1.22896,0.66563,0.57206,0.60287,0.40961,1.24907,1.82626,1.45432,0.001783,0.001783,0.001783
85,28303.7,0.94866,0.85128,1.22601,0.66393,0.5747,0.60313,0.4101,1.24958,1.82091,1.4548,0.001684,0.001684,0.001684
86,29272,0.95042,0.8464,1.22516,0.66103,0.57719,0.60328,0.41045,1.24978,1.81428,1.45511,0.001585,0.001585,0.001585
87,30157,0.94384,0.83634,1.22043,0.66123,0.5772,0.60337,0.41059,1.24918,1.80766,1.45428,0.001486,0.001486,0.001486
88,31174.4,0.94944,0.83808,1.22121,0.65921,0.57822,0.60336,0.41071,1.2486,1.80139,1.45374,0.001387,0.001387,0.001387
89,32099.9,0.92955,0.8237,1.2126,0.66164,0.57705,0.60355,0.41058,1.24921,1.79462,1.45418,0.001288,0.001288,0.001288
90,33007.2,0.94452,0.82884,1.21815,0.66204,0.57713,0.60376,0.41068,1.24952,1.78799,1.45432,0.001189,0.001189,0.001189
91,33973.8,0.97826,0.77829,1.24013,0.66129,0.57768,0.60425,0.41113,1.24952,1.7872,1.45434,0.00109,0.00109,0.00109
92,34991.2,0.96072,0.75191,1.22875,0.66311,0.57759,0.6046,0.41101,1.24952,1.78785,1.45456,0.000991,0.000991,0.000991
93,35879.4,0.95193,0.74032,1.22105,0.66555,0.57699,0.60513,0.41142,1.24924,1.78905,1.45417,0.000892,0.000892,0.000892
94,36766.9,0.94879,0.73098,1.21831,0.66735,0.57417,0.6054,0.41168,1.24876,1.78803,1.45381,0.000793,0.000793,0.000793
95,37692.1,0.93777,0.72449,1.21162,0.66566,0.57587,0.60614,0.4121,1.2482,1.78549,1.45333,0.000694,0.000694,0.000694
96,38708.4,0.93119,0.71228,1.2089,0.66569,0.57517,0.60652,0.41246,1.2478,1.78558,1.45293,0.000595,0.000595,0.000595
97,39648.8,0.92403,0.70962,1.20172,0.66414,0.57709,0.60674,0.41282,1.2469,1.78291,1.45221,0.000496,0.000496,0.000496
98,40536.8,0.91993,0.70169,1.19869,0.66158,0.57903,0.60644,0.41304,1.24641,1.78124,1.45217,0.000397,0.000397,0.000397
99,41535.6,0.91806,0.69765,1.19872,0.66403,0.57771,0.60629,0.41327,1.24642,1.78159,1.45267,0.000298,0.000298,0.000298
100,42424.2,0.91118,0.68971,1.19334,0.66526,0.57849,0.60607,0.4133,1.24593,1.78071,1.45264,0.000199,0.000199,0.000199
